Loaded guess DOFs from: out_less_gates_twist_windowed_test1/opt_dofs_2026-08-23_01-07-13.npy (195 values)
Loaded endurance_tracks/Michigan-2019-endurance_gates.csv: 141 gates

===== Windowed sweep (window=6, step=5) =====
Obj funtion: (0.05010768986915777, 0.009694292140892395)   (rho_normalized calls: 147) 


Obj funtion: (0.05010768987428134, 0.009694292141091923)   (rho_normalized calls: 147) 


Obj funtion: (0.05010768987336546, 0.009694292141419085)   (rho_normalized calls: 147) 


Obj funtion: (0.05010768987394328, 0.00969429213893138)   (rho_normalized calls: 147) 


Obj funtion: (0.05010768987573738, 0.009694292141945025)   (rho_normalized calls: 147) 


Obj funtion: (0.05010768989830008, 0.009694292140396486)   (rho_normalized calls: 147) 


Obj funtion: (0.05010768989330759, 0.009694292140592281)   (rho_normalized calls: 147) 


Obj funtion: (0.05010768987109036, 0.009694292137449316)   (rho_normalized calls: 147) 


Obj funtion: (0.04748884773731912, 0.008492376438228255)   (rho_normalized calls: 147) 


Obj funtion: (0.04748884786080598, 0.00849237643327852)   (rho_normalized calls: 147) 


Obj funtion: (0.04748884769627058, 0.008492375838163271)   (rho_normalized calls: 147) 


Obj funtion: (0.047488848109397824, 0.008492376966805215)   (rho_normalized calls: 147) 


Obj funtion: (0.0474888475069861, 0.008492376489232505)   (rho_normalized calls: 147) 


Obj funtion: (0.047488848712137585, 0.008492376369150276)   (rho_normalized calls: 147) 


Obj funtion: (0.047488848269262335, 0.008492376764043214)   (rho_normalized calls: 147) 


Obj funtion: (0.047488847739986496, 0.008492376438305804)   (rho_normalized calls: 147) 


Obj funtion: (0.0474888477465293, 0.008492376448933997)   (rho_normalized calls: 147) 


Obj funtion: (0.04748884773708504, 0.008492376443622843)   (rho_normalized calls: 147) 


Obj funtion: (0.04748884774204107, 0.008492376442654957)   (rho_normalized calls: 147) 


Obj funtion: (0.04748884779124623, 0.008492376438492204)   (rho_normalized calls: 147) 


Obj funtion: (0.047488847741127375, 0.00849237644168966)   (rho_normalized calls: 147) 


Obj funtion: (0.04748884772219089, 0.008492376436911864)   (rho_normalized calls: 147) 


Obj funtion: (0.04748884769283786, 0.008492376390427755)   (rho_normalized calls: 147) 


Obj funtion: (0.04748884773931677, 0.008492376423349254)   (rho_normalized calls: 147) 


Obj funtion: (0.04748884796109541, 0.008492376428903235)   (rho_normalized calls: 147) 


Obj funtion: (0.047488847642453993, 0.008492376437016079)   (rho_normalized calls: 147) 


Obj funtion: (0.047488847718274094, 0.00849237638208513)   (rho_normalized calls: 147) 


