distance_m,x_m,y_m
427.0000,349.7379,-31.1405
427.5000,349.5772,-31.6152
428.0000,349.4237,-32.0876
428.5000,349.2740,-32.5643
429.0000,349.1273,-33.0445
429.5000,348.9826,-33.5266
430.0000,348.8412,-34.0036
430.5000,348.7045,-34.4793
431.0000,348.5737,-34.9596
431.5000,348.4509,-35.4460
432.0000,348.3376,-35.9396
432.5000,348.2381,-36.4249
433.0000,348.1508,-36.9080
433.5000,348.0741,-37.3989
434.0000,348.0078,-37.8977
434.5000,347.9519,-38.4040
435.0000,347.9066,-38.9077
435.5000,347.8714,-39.3984
436.0000,347.8438,-39.8944
436.5000,347.8228,-40.3951
437.0000,347.8077,-40.8996
437.5000,347.7974,-41.4071
438.0000,347.7908,-41.9096
438.5000,347.7867,-42.4108
439.0000,347.7841,-42.9123
439.5000,347.7817,-43.4131
440.0000,347.7783,-43.9124
440.5000,347.7730,-44.4099
441.0000,347.7642,-44.9216
441.5000,347.7508,-45.4287
442.0000,347.7318,-45.9304
442.5000,347.7062,-46.4259
443.0000,347.6730,-46.9145
443.5000,347.6296,-47.4159
444.0000,347.5744,-47.9254
444.5000,347.5083,-48.4252
445.0000,347.4308,-48.9152
445.5000,347.3421,-49.3954
446.0000,347.2391,-49.8804
446.5000,347.1205,-50.3737
447.0000,346.9914,-50.8580
447.5000,346.8534,-51.3348
448.0000,346.7088,-51.8063
448.5000,346.5580,-52.2829
449.0000,346.4038,-52.7616
449.5000,346.2467,-53.2374
450.0000,346.0858,-53.7091
450.5000,345.9201,-54.1760
451.0000,345.7438,-54.6512
451.5000,345.5614,-55.1198
452.0000,345.3723,-55.5815
452.5000,345.1762,-56.0363
453.0000,344.9699,-56.4905
453.5000,344.7533,-56.9439
454.0000,344.5290,-57.3907
454.5000,344.2970,-57.8316
455.0000,344.0575,-58.2676
455.5000,343.8100,-58.7005
456.0000,343.5556,-59.1299
456.5000,343.2948,-59.5566
457.0000,343.0281,-59.9817
457.5000,342.7601,-60.3996
458.0000,342.4887,-60.8157
458.5000,342.2134,-61.2329
459.0000,341.9346,-61.6519
